,@Username,Tweet,Lokasi
65,lapas_kuningan,"Pada pagi hari pembukaan acara, Sandiaga Uno, Menteri Pariwisata dan Ekonomi Kreatif Indonesia, turut hadir dan berkeliling ke berbagai booth untuk memberikan dukungan dan penguatan bagi para pelaku UKM. 

#KemenkumhamJabar 
#RandikaDwiPrasetya","Kuningan, Indonesia"
66,indozonemedia,"Sandiaga Uno menjelaskan kehadiran UMKM di Grage City Mall Cirebon dapat meningkatkan omzet hingga peluang usaha baru disekitar.

https://t.co/t1ikKOQEng via @indozonemedia",Jakarta
67,abatanews,Sandiaga Uno Puji Produk Sulsel di Pameran Inacraft 2023  https://t.co/aUJVtUVamQ,
68,adaapaaja21,"Sebelumnya, Plt Ketum PPP Mardiono mengajak Sandiaga Uno menjadi kader PPP sekaligus maju sebagai Calon Presiden (Capres) 2024.#PrabowoPerkuatKesehatan Prabowo Subianto",
69,lpncirebon2,"Sandiaga Uno, Menteri Pariwisata dan Ekonomi Kreatif Indonesia, turut hadir dan berkeliling ke berbagai booth untuk memberikan dukungan dan penguatan bagi para pelaku UKM. Kehadirannya diharapkan dapat memberikan semangat dan motivasi
#KemenkumhamJabar 
#RAndikaDwiPrasetya https://t.co/BNPgbMlxkH",
70,lp_indramayu,"Sandiaga Uno, Menteri Pariwisata dan Ekonomi Kreatif Indonesia, turut hadir untuk memberikan dukungan dan penguatan bagi para  UKM. Kehadirannya diharapkan dapat memberikan semangat dan motivasi bagi pelaku UKM.

#KemenkumhamJabar
#RandikaDwiPrasetya https://t.co/woV5QpSilk",Jl. Jend. Gatot Subroto No. 04
71,PutraAlamsyahJ1,Seperti kacang lupa kulitnya Ini Mah Bang Sandi. #sandia #sandiagauno #gerindra #prabowo #Pilpres2024 https://t.co/JbGOK6RO6G,
72,Cahyokt4,"Yang #toxic kelaut aja.. 
Sama orang yg berjasa aja begini,, mau jadi pemimpin lagi 
Haduu #Ngeri

#Kesetiaan #KritikSandi #Ruangsandi #SandiagaUno #WonderfullIndonesia #BangkitBersamaKemenparekraf #DiIndonesiaAja #Ggmu https://t.co/yiBAT6TByP",
73,detikcom,Sampai saat ini cawapres Anies masih belum diputuskan. PKS bahkan mulai buka peluang agar Anies berdampingan dengan Sandiaga Uno di 2024.   https://t.co/2AFPy8NzDt,"Jakarta, Indonesia"
74,Jhonkosmik,"PKS cukup bijak jika memperjuangkan ini.
Sebab bisa jadi cara Anies membayar hutangnya ke Sandi.

Sandiaga Uno - Anies Baswedan
                (SADIS 2024)
              https://t.co/j1IZRTH2LF",
75,AsepSeptiyana_,Waa dduuhh kok jadi kaya gini ya 🙃🙃🙃 #sandiagauno #sandi #kemenparekraf #wonderfulindonesia #IndonesiaJuara #IndonesiaMaju https://t.co/dVpGSBsiuW,
76,0kto71,"PKS tidak menampik sampai saat ini cawapres Anies masih belum diputuskan. PKS bahkan mulai membuka peluang agar Anies berdampingan dengan Sandiaga Uno di 2024.

Wow, mungkin karena SU uangnya banyak? Dan kalo menjamin uang gak perlu diganti?🤣😁 https://t.co/fgc1aDUc5C",
77,catatankaqihati,"Sandiaga Uno mengungkapkan Terselenggaranya event internasional di Kabupaten Toba, merupakan langkah kolaborasi dan menjadi momentum kebangktan pariwisata Indonesia. Juga, menandai kesiapan Danau Toba sebagai salah satu Destinasi Pariwisata Super Prioritas (DPSP). https://t.co/fSNquMSOqU",Indonesia
78,sandi6109,Welll play,
79,andrikingo77,Bener juga sih itu mending langsung dipecat aja daripada gajelas kan pak Sandi ini mau kemana arahnya? #sandiagauno #gerindra #prabowosubianto #kacanglupakulit #politikidentitas #rumahdp0 #jakarta #kemenparekraf https://t.co/cI6h79AZa7,
