,date,username,tweet
60,2023-02-15 01:13:56,sagaranesia,"Sandiaga Uno: Indonesia punya potensi besar  dan harus memiliki ekosistem konten sendiri, Content is King...   #sagaranesia #Menparekraf #SandiagaUno #KontenKreatif #JPP #JaringanPemredPromedia #PromediaTeknologi #Promedia   https://t.co/XzzN2MlK2K"
61,2023-02-14 22:10:50,JemberNetwork,"Menparekraf Sandiaga Uno dorong potensi produksi konten miliki ekosistem mandiri yang kuat, content is king! #SandiagaUno #Promedia #Jurnalis  https://t.co/HxtI9QkW42"
62,2023-02-14 14:48:57,kaltenglima,"Orang Indonesia Jago Bikin Konten, SandiagaUno : Content is King!  https://t.co/olX1dAmtCX"
63,2023-02-14 14:18:18,pinterpolitik,"Sobat PinPol udah follow siapa aja nih kandidat potensial di Pilpres 2024?  Btw, followers Pak Jokowi banyak banget yaaa  #instagram #populer #politisi #ridwankamil #sandiagauno #ahy #prabowosubianto #erickthohir #infografis #pinterpolitik  https://t.co/umvb3uVzr8"
64,2023-02-14 13:15:50,bebasbaru,"Potensinya besar ini #sandiagauno #kontensehat  Sandiaga Uno Sebut Orang Indonesia Jago Bikin Konten, Segera Bikin Ekosistem Mumpung Di Dukung Presiden Jokowi  https://t.co/ARd3f7XSYQ"
65,2023-02-14 13:13:05,kasatyo,"Jaringan Pemred Promedia Hadirkan Pers yang Sehat, Menparekraf: Bagian dari subSektor Ekonomi Kreatif  https://t.co/6DjU0kSIHW #PromediaTeknologiIndonesia #JPP #menparekraf #SandiagaUno #erickThohir"
66,2023-02-14 12:50:29,JemberNetwork,"Sandiaga Uno dan Erick Thohir hadir dalam peresmian Jaringan Pemred Promedia, apresiasi bentuk ekonomi kreatif. #SandiagaUno #ErickThohir #Jurnalis  https://t.co/uEyKtuXKyk"
67,2023-02-14 12:08:15,Newswantara17, https://t.co/CUCnKxpRIU  #beritaViral #beritaterkini #aniesbaswedan #sandiagauno
68,2023-02-14 10:30:39,politikonoha,Aku bisa membuatmu jatuh cinta kepadaku meski kau tak cinta.. #sandiagauno #prabowo #PPP #dewa19 #konserdewa19 #capres2024 #ahmaddhani #arilasso #RisalahHati #pestarakyatdewa19  https://t.co/Aoj4wgpSYr
69,2023-02-14 08:04:22,sagaranesia,"JPP sah diresmikan;  Dihadiri Menteri BUMN dan Menparekraf, Jaringan Pemred Promedia siap memperkuat ekosistem   #sagaranesia #JPP #JaringanPemredPromedia #MenteriBUMN #ErickThohir #Menparekraf #SandiagaUno #JerrySambuaga    https://t.co/qNKz95ECqV"
70,2023-02-14 07:52:12,warna_nusa,"Momen Peresmian JPP Promedia Teknologi Indonesia, Menparekraf Sandiaga Uno Ucapkan Terima Kasih #SandiagaUno  https://t.co/ATl1M7ospn"
71,2023-02-14 07:41:28,cokro_tv,SIAPA DI BALIK ORANG KETIGA YANG BERI UTANG KE ANIES? #CokroTV #GaPakeBaper #AniesBaswedan #SandiagaUno   Full Video Youtube:  https://t.co/fs5Abh9UkD  https://t.co/R2kOsJqw3c
72,2023-02-14 07:28:39,imadeputra2804,Abu janda on fire lagi nih menantang kleannn! #abujanda #Rihanna #prabowo #sandiagauno #gerindra  https://t.co/YCKrYW8PHi
73,2023-02-14 07:04:48,JayaNista,Gerindra Bantah Kabar Prabowo Sudah Beri Izin Sandiaga Gabung PPP #gerindra #partaigerindra #politik #indonesia #prabowo #sandiagauno  https://t.co/LaXFyTUOYh
74,2023-02-14 06:36:04,fajaronline,"Sandiaga Uno ke Sulsel, DPD Gerindra: Kalau Datang Sebagai Politisi Kami Sangat Sayangkan  https://t.co/nIHawpxIEH #GerindraSulsel #PPP #PrabowoSubianto #SandiagaUno"
75,2023-02-14 06:30:00,ThePhraseID,"Acara Peringatan Satu Abad NU di Sidoarjo dihadiri oleh beberapa tokoh politik seperti Ganjar Pranowo, Prabowo Subianto, dan AHY. #ThePhraseID #satuabadnu #nahdlatululama #ganjarpranowo #prabowo #AgusYudhoyono #sandiagauno @nahdlatululama   https://t.co/Dql19ly7nG"
76,2023-02-14 06:24:30,indozonemedia,Menparekraf Sandiaga Uno Komentari Kejadian Singa Tabrak Mobil di Taman Safari Prigen #SandiagaUno #TamanSafari  https://t.co/icynnfqRdp
77,2023-02-14 06:22:32,sobat_sandi,"Mas Menteri @sandiuno mencoba jadi ""Tour Guide"" Di Candi Borobudur 😍👏  #sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral2023 #AlwaysWithYou FIRST JOB CURRENT JOB DREAM JOB Selasa Budaya Happy Valentine #ValentinesDay #magelang #borobudur  https://t.co/VpCVzXAvpl"
78,2023-02-14 04:57:54,Mat16_16,Ada 2 org cawapres yg bs menghantar Prabowo Subianto jd Presiden RI 2024.  Bukan Ganjar/Muhaimin/AHY/Erlangga/RidwanK/AndikaP/Anak2nya Jokowi/AniesBaswedan/ErickThohir/SandiagaUno/Khofifah/....  PDIP Gerindra DPR RI Fadli Zon  detikNews CNN Indonesia  https://t.co/zODrJaPaVK
79,2023-02-14 04:38:18,nusabalicom,Sandiaga Tidak Pernah Minta Izin Pindah Partai  https://t.co/YTgIcGpytA Dasco : Dinamika Politik yang Wajar dan Biasa  #sandiagauno #berita #politik  #bali #nusabali
80,2023-02-14 04:25:38,jpnncom,"#BeritaBali  Sandiaga Uno Dorong Generasi Muda Masuk Poltekpar, Bisa Berkarier di Luar Negeri @sandiuno  #sandiagauno  #politeknikpariwisata   https://t.co/sjgQoGwsA3"
81,2023-02-14 04:04:05,fajaronline,"Heboh Utang Rp50 M Anies, Fahri Hamzah Menyindir: Perencanaan Korupsi yang Sangat Kasat Mata  https://t.co/wKC2bijfzW #AniesBaswedan #FahriHamzah #PilkadaDkiJakarta #SandiagaUno"
82,2023-02-14 03:57:18,fajaronline,"Demokrat Ungkit Upaya Sandi Geser Prabowo Saat Pilpres 2019, Eks Waketum Gerindra: Memang Penghianat Dia  https://t.co/FIMZbwYL1M #AriefPoyuono #Pilpres2019 #PrabowoSubianto #SandiagaUno"
83,2023-02-14 03:21:29,jakpost,"Sandiaga Uno has said that he will discuss with Prabowo Subianto the aspirations of the United Development Party (PPP), following Sandiaga as a potential candidate for the 2024 presidential election. #SandiagaUno #Pemilu2024  Read more:  https://t.co/lbkL1YqU7M  https://t.co/xlJxbyp6TD"
84,2023-02-14 02:15:03,jpnncom,"Sandiaga Uno Dorong Generasi Muda Masuk Poltekpar, Bisa Berkarier di Luar Negeri #SandiagaUno  https://t.co/sjgQoGwsA3"
85,2023-02-14 00:34:34,warna_nusa,"PPP Beri 'Tawaran Mewah' ke Sandiaga Uno di Pemilu 2024, Rocky Gerung: Pemikiran Saya, Sandy Pasti....  #sandiagauno #rockygerung  https://t.co/LCZYRHNdNi"
86,2023-02-13 12:59:02,portalmediaid,Gerindra Tegas Bantah soal Prabowo Izinkan Sandiaga Uno Pindah ke PPP  Baca Selengkapnya:  https://t.co/CoTnXGjDL1  #BeritaTerkini #media #Online #news #BreakingNews #gerindra #bantah #prabowo #Sandiagauno #PPP #politik #Indonesia
87,2023-02-13 12:17:28,kabar_dpr,Dasco Pastikan Tidak Dapat Kabar Soal Sandiaga Izin Pindah ke PPP  #KabarDPR #NewsUpdate #Sandiagauno   https://t.co/q5gAxQFAql
88,2023-02-13 10:56:23,indoposco,Dasco Sebut Tidak Pernah Dengar Izin Soal Sandiaga Pindah ke PPP   https://t.co/bRqjK4ukPi  #indoposco #Gerindra #PartaiGerindra #PPP #SandiagaUno #SufmiDascoAhmad
89,2023-02-13 09:15:00,RADARSOLO_,Dasco Sebut Belum Pernah Dengar Sandiaga Minta Izin Pindah ke PPP #ppp #Sandiagauno   https://t.co/CfZ97Tu9E3
90,2023-02-13 08:16:32,Edymaull,"POLITIK IDENTITAS DIMAINKAN, SANDIAGA UNO BAHAYAKAN NEGARA  #sandiagakebeletnyapres #sandiagauno #sandiagagakbisakerja #sandiwarauno #bapakpolitikidentitas #politikidentitas #Pilpres2024  https://t.co/oMka94UKUh"
